timestamp,open_interest,source
1710115200,56125.15600000,bybit
1710118800,55190.84000000,bybit
1710122400,55532.83100000,bybit
1710126000,55364.77800000,bybit
1710129600,55197.35300000,bybit
1710133200,55170.68000000,bybit
1710136800,55295.32400000,bybit
1710140400,55365.85600000,bybit
1710144000,57369.20400000,bybit
1710147600,57684.95500000,bybit
1710151200,58586.75500000,bybit
1710154800,58314.70500000,bybit
1710158400,57796.79600000,bybit
1710162000,58468.40900000,bybit
1710165600,59090.76400000,bybit
1710169200,59020.33000000,bybit
1710172800,58084.12900000,bybit
1710176400,57563.51000000,bybit
1710180000,57399.98300000,bybit
1710183600,57132.90400000,bybit
1710187200,57335.76200000,bybit
1710190800,57036.47600000,bybit
1710194400,56750.95000000,bybit
1710198000,57194.11700000,bybit
1710201600,56868.26000000,bybit
1710205200,56760.17000000,bybit
1710208800,56486.39100000,bybit
1710212400,56887.68900000,bybit
1710216000,56804.60500000,bybit
1710219600,57091.89400000,bybit
1710223200,57212.24100000,bybit
1710226800,56976.83900000,bybit
1710230400,57242.42700000,bybit
1710234000,57167.43400000,bybit
1710237600,57039.76600000,bybit
1710241200,57083.12700000,bybit
1710244800,57184.68500000,bybit
1710248400,57339.37000000,bybit
1710252000,57925.01700000,bybit
1710255600,58998.84400000,bybit
1710259200,58337.89500000,bybit
1710262800,58517.37100000,bybit
1710266400,58213.41500000,bybit
1710270000,58526.45400000,bybit
1710273600,58044.41300000,bybit
1710277200,57496.00000000,bybit
1710280800,57527.78400000,bybit
1710284400,57360.00800000,bybit
1710288000,57503.47100000,bybit
1710291600,57346.56400000,bybit
1710295200,57447.92200000,bybit
1710298800,57962.81000000,bybit
1710302400,58069.36900000,bybit
1710306000,58369.05300000,bybit
1710309600,58290.47300000,bybit
1710313200,59542.23300000,bybit
1710316800,59387.73900000,bybit
1710320400,58830.28700000,bybit
1710324000,58113.52200000,bybit
1710327600,58265.43700000,bybit
1710331200,58324.14900000,bybit
1710334800,58794.92400000,bybit
1710338400,57784.84400000,bybit
1710342000,58428.74400000,bybit
1710345600,57980.27100000,bybit
1710349200,57823.66800000,bybit
1710352800,57576.52200000,bybit
1710356400,57655.01800000,bybit
1710360000,57079.43900000,bybit
1710363600,56788.09400000,bybit
1710367200,56181.00300000,bybit
1710370800,56076.00200000,bybit
1710374400,56000.51900000,bybit
1710378000,56234.18000000,bybit
1710381600,56247.42900000,bybit
1710385200,56497.64600000,bybit
1710388800,56614.85300000,bybit
1710392400,56030.81200000,bybit
1710396000,56631.36300000,bybit
1710399600,57161.96700000,bybit
1710403200,57215.75400000,bybit
1710406800,57397.31300000,bybit
1710410400,57368.93100000,bybit
1710414000,57617.33800000,bybit
1710417600,57732.07400000,bybit
1710421200,58012.17100000,bybit
1710424800,60063.86100000,bybit
1710428400,60586.21000000,bybit
1710432000,59900.19300000,bybit
1710435600,59570.27000000,bybit
1710439200,59288.58300000,bybit
1710442800,58614.33600000,bybit
1710446400,60969.06900000,bybit
1710450000,61259.99000000,bybit
1710453600,61352.35100000,bybit
1710457200,61907.31800000,bybit
1710460800,61551.70400000,bybit
1710464400,60195.89300000,bybit
1710468000,60455.49600000,bybit
1710471600,58210.88000000,bybit
1710475200,58007.86200000,bybit
1710478800,57804.28700000,bybit
1710482400,57871.21600000,bybit
1710486000,58422.98100000,bybit
1710489600,58114.87300000,bybit
1710493200,57201.66900000,bybit
1710496800,56361.38900000,bybit
1710500400,56768.35400000,bybit
1710504000,56854.98700000,bybit
1710507600,57632.28800000,bybit
1710511200,57688.98900000,bybit
1710514800,58204.80900000,bybit
1710518400,57712.37300000,bybit
1710522000,57466.60000000,bybit
1710525600,57204.96300000,bybit
1710529200,56069.80600000,bybit
1710532800,55485.54400000,bybit
1710536400,55035.36900000,bybit
1710540000,55032.33800000,bybit
1710543600,55051.31300000,bybit
1710547200,55211.49200000,bybit
1710550800,55451.74800000,bybit
1710554400,54927.55800000,bybit
1710558000,54997.38700000,bybit
1710561600,55119.51500000,bybit
1710565200,55208.19600000,bybit
1710568800,55347.70900000,bybit
1710572400,55612.43600000,bybit
1710576000,56370.35300000,bybit
1710579600,55934.18500000,bybit
1710583200,55781.63200000,bybit
1710586800,56352.19400000,bybit
1710590400,56059.81100000,bybit
1710594000,56177.98400000,bybit
1710597600,56145.63200000,bybit
1710601200,56177.88300000,bybit
1710604800,56000.99500000,bybit
1710608400,55669.71800000,bybit
1710612000,55171.25800000,bybit
1710615600,55126.46800000,bybit
1710619200,55298.18300000,bybit
1710622800,54996.75600000,bybit
1710626400,54772.77500000,bybit
1710630000,55039.13800000,bybit
1710633600,55491.41300000,bybit
1710637200,54979.24600000,bybit
1710640800,55322.10000000,bybit
1710644400,56057.97400000,bybit
1710648000,55877.38000000,bybit
1710651600,55624.54200000,bybit
1710655200,55230.31700000,bybit
1710658800,54936.92300000,bybit
1710662400,55288.11200000,bybit
1710666000,54589.60700000,bybit
1710669600,54864.56800000,bybit
1710673200,56007.98900000,bybit
1710676800,56408.86800000,bybit
1710680400,55875.03400000,bybit
1710684000,55309.25300000,bybit
1710687600,54800.92400000,bybit
1710691200,55282.92000000,bybit
1710694800,55578.11300000,bybit
1710698400,55800.88500000,bybit
1710702000,55931.45300000,bybit
1710705600,55759.99000000,bybit
1710709200,55997.03100000,bybit
1710712800,55984.58000000,bybit
1710716400,55432.77600000,bybit
1710720000,55678.74300000,bybit
1710723600,55955.37200000,bybit
1710727200,55565.01400000,bybit
1710730800,55040.63500000,bybit
1710734400,55213.84600000,bybit
1710738000,55431.04900000,bybit
1710741600,55808.87600000,bybit
1710745200,55735.87200000,bybit
1710748800,55999.23100000,bybit
1710752400,55249.97000000,bybit
1710756000,55386.22300000,bybit
1710759600,55369.41500000,bybit
1710763200,55293.62900000,bybit
1710766800,55654.61000000,bybit
1710770400,55877.43700000,bybit
1710774000,55477.05300000,bybit
1710777600,56796.35100000,bybit
1710781200,57363.87300000,bybit
1710784800,56739.38100000,bybit
1710788400,56270.06000000,bybit
1710792000,56386.49300000,bybit
1710795600,55849.43700000,bybit
1710799200,56011.60500000,bybit
1710802800,55707.10000000,bybit
1710806400,55334.74800000,bybit
1710810000,55349.43500000,bybit
1710813600,55119.14300000,bybit
1710817200,54889.16100000,bybit
1710820800,54605.49900000,bybit
1710824400,55070.49700000,bybit
1710828000,55397.85000000,bybit
1710831600,55475.15700000,bybit
1710835200,55435.36600000,bybit
1710838800,54868.73800000,bybit
1710842400,54515.50300000,bybit
1710846000,54076.33000000,bybit
1710849600,54252.10700000,bybit
1710853200,55992.13500000,bybit
1710856800,55522.13600000,bybit
1710860400,55902.23700000,bybit
1710864000,55815.41900000,bybit
1710867600,55241.98800000,bybit
1710871200,54216.98300000,bybit
1710874800,53991.95200000,bybit
1710878400,53938.49000000,bybit
1710882000,53455.47600000,bybit
1710885600,52809.53900000,bybit
1710889200,52943.07500000,bybit
1710892800,53255.22200000,bybit
1710896400,53496.08300000,bybit
1710900000,53338.73700000,bybit
1710903600,53781.90400000,bybit
1710907200,54465.58400000,bybit
1710910800,53405.95300000,bybit
1710914400,54016.14700000,bybit
1710918000,54181.20500000,bybit
1710921600,54829.20600000,bybit
1710925200,55258.55000000,bybit
1710928800,55452.72200000,bybit
1710932400,55996.62800000,bybit
