timestamp,funding_rate,source
1710115200,0.00041946,bybit
1710144000,0.00077869,bybit
1710172800,0.00074316,bybit
1710201600,0.00049803,bybit
1710230400,0.00051935,bybit
1710259200,0.00055529,bybit
1710288000,0.00034133,bybit
1710316800,0.0007759,bybit
1710345600,0.0004918,bybit
1710374400,0.00028643,bybit
1710403200,0.00048932,bybit
1710432000,0.00049306,bybit
1710460800,0.00050945,bybit
1710489600,0.0001,bybit
1710518400,0.0001,bybit
1710547200,0.0001,bybit
1710576000,0.0001,bybit
1710604800,0.0001,bybit
1710633600,0.0001,bybit
1710662400,0.0001,bybit
1710691200,0.00019339,bybit
1710720000,0.00013515,bybit
1710748800,0.00030244,bybit
1710777600,0.0001,bybit
1710806400,0.0001,bybit
1710835200,0.0001,bybit
1710864000,0.00011542,bybit
1710892800,0.0001,bybit
1710921600,0.0001,bybit
1710950400,0.0001,bybit
1710979200,0.0001,bybit
1711008000,0.0001,bybit
1711036800,0.0001,bybit
1711065600,0.0001,bybit
1711094400,0.0001,bybit
1711123200,0.0001,bybit
1711152000,0.0001,bybit
1711180800,0.0001,bybit
1711209600,0.0001,bybit
1711238400,0.0001,bybit
1711267200,0.0001,bybit
1711296000,0.0001,bybit
1711324800,0.0001,bybit
1711353600,0.0001,bybit
1711382400,0.00025614,bybit
1711411200,0.00010181,bybit
1711440000,0.00023139,bybit
1711468800,0.00032273,bybit
1711497600,0.00046291,bybit
1711526400,0.00032533,bybit
1711555200,0.00042313,bybit
1711584000,0.00037678,bybit
1711612800,0.00052851,bybit
1711641600,0.00047308,bybit
1711670400,0.00043346,bybit
1711699200,0.0003284,bybit
1711728000,0.00037754,bybit
1711756800,0.00026099,bybit
1711785600,0.0004336,bybit
1711814400,0.00035292,bybit
1711843200,0.0003051,bybit
1711872000,0.00044673,bybit
1711900800,0.00049276,bybit
1711929600,0.00065297,bybit
1711958400,0.00029626,bybit
1711987200,0.00024903,bybit
1712016000,0.00024486,bybit
1712044800,0.0001,bybit
1712073600,0.0001,bybit
1712102400,0.0001,bybit
1712131200,0.0001,bybit
1712160000,0.0001,bybit
1712188800,0.0001,bybit
1712217600,0.0001,bybit
1712246400,0.0001,bybit
1712275200,0.0001,bybit
1712304000,0.0001,bybit
1712332800,0.0001,bybit
1712361600,0.0001,bybit
1712390400,0.0001,bybit
1712419200,0.0001,bybit
1712448000,0.0001,bybit
1712476800,0.0001,bybit
1712505600,0.0001,bybit
1712534400,0.0001,bybit
1712563200,0.0001,bybit
1712592000,0.00021323,bybit
1712620800,0.00020982,bybit
1712649600,0.00015607,bybit
1712678400,0.00016704,bybit
1712707200,0.00011987,bybit
1712736000,0.0001,bybit
1712764800,0.0001,bybit
1712793600,0.0001,bybit
1712822400,0.0001,bybit
1712851200,0.0001,bybit
1712880000,0.0001,bybit
1712908800,0.0001,bybit
1712937600,0.0001,bybit
1712966400,0.0001,bybit
1712995200,0.0001,bybit
1713024000,0.0001,bybit
1713052800,0.00007356,bybit
1713081600,0.0001,bybit
1713110400,0.0001,bybit
1713139200,0.00008288,bybit
1713168000,-0.00003849,bybit
1713196800,0.00000541,bybit
1713225600,0.00008676,bybit
1713254400,0.00006221,bybit
1713283200,0.00006552,bybit
1713312000,0.00003688,bybit
1713340800,0.00000663,bybit
1713369600,0.00004406,bybit
1713398400,0.00007307,bybit
1713427200,-0.00004087,bybit
1713456000,-0.00005366,bybit
1713484800,-0.00002998,bybit
1713513600,0.0001,bybit
1713542400,0.00005565,bybit
1713571200,0.0000358,bybit
1713600000,0.00000943,bybit
1713628800,-0.00006986,bybit
1713657600,-0.00001858,bybit
1713686400,0.00004833,bybit
1713715200,0.00005023,bybit
1713744000,0.00009377,bybit
1713772800,0.0001,bybit
1713801600,-0.00007379,bybit
1713830400,-0.00015398,bybit
1713859200,-0.00001744,bybit
1713888000,0.00007572,bybit
1713916800,0.0001,bybit
1713945600,0.0001,bybit
1713974400,0.0000493,bybit
1714003200,0.0001,bybit
1714032000,-0.00001371,bybit
1714060800,0.00002499,bybit
1714089600,-0.00001077,bybit
1714118400,-0.00003421,bybit
1714147200,0.00006161,bybit
1714176000,0.0001,bybit
1714204800,0.0001,bybit
1714233600,0.0001,bybit
1714262400,0.0000402,bybit
1714291200,0.0000792,bybit
1714320000,0.000079,bybit
1714348800,0.00001802,bybit
1714377600,-0.00005782,bybit
1714406400,0.0001,bybit
1714435200,0.0000143,bybit
1714464000,0.00000638,bybit
1714492800,0.00008364,bybit
1714521600,0.0001,bybit
1714550400,0.0001,bybit
1714579200,0.00005046,bybit
1714608000,0.00001443,bybit
1714636800,0.0001,bybit
1714665600,-0.0001045,bybit
1714694400,-0.00009395,bybit
1714723200,-0.00005166,bybit
1714752000,-0.00008669,bybit
